REEF_SITE,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,PERCENT_LCC
ATL,APR,06/04/2024,CREST,1,56
ATL,APR,06/04/2024,CREST,2,55
ATL,APR,06/04/2024,CREST,3,66
ATL,APR,07/04/2024,FLAT,1,73
ATL,APR,07/04/2024,FLAT,2,67
ATL,APR,07/04/2024,FLAT,3,76
ATL,APR,18/04/2024,FLAT,1,62
ATL,APR,18/04/2024,FLAT,2,60
ATL,APR,18/04/2024,FLAT,3,55
ATL,AUG,03/08/2024,CREST,1,38
ATL,AUG,03/08/2024,CREST,2,36
ATL,AUG,03/08/2024,CREST,3,42
ATL,AUG,07/08/2024,CREST,1,39
ATL,AUG,07/08/2024,CREST,2,35
ATL,AUG,07/08/2024,CREST,3,35
ATL,AUG,23/08/2024,CREST,1,32
ATL,AUG,23/08/2024,CREST,2,36
ATL,AUG,23/08/2024,CREST,3,45
ATL,FEB,09/02/2024,CREST,1,58
ATL,FEB,09/02/2024,CREST,2,60
ATL,FEB,09/02/2024,CREST,3,60
ATL,JUL,10/07/2024,CREST,1,32
ATL,JUL,10/07/2024,CREST,2,36
ATL,JUL,10/07/2024,CREST,3,30
ATL,JUL,13/07/2024,CREST,1,58
ATL,JUL,13/07/2024,CREST,2,34
ATL,JUL,13/07/2024,CREST,3,29
ATL,JUL,24/07/2024,CREST,1,40
ATL,JUL,24/07/2024,CREST,2,26
ATL,JUL,24/07/2024,CREST,3,46
ATL,JUN,01/06/2024,CREST,1,22
ATL,JUN,01/06/2024,CREST,2,32
ATL,JUN,07/06/2024,FLAT,1,47
ATL,JUN,07/06/2024,FLAT,2,45
ATL,JUN,07/06/2024,FLAT,3,48
ATL,JUN,19/06/2024,FLAT,1,44
ATL,JUN,19/06/2024,FLAT,2,52
ATL,JUN,19/06/2024,FLAT,3,49
ATL,JUN,23/06/2024,CREST,1,27
ATL,JUN,23/06/2024,CREST,2,34
ATL,JUN,23/06/2024,CREST,3,37
ATL,MAR,09/03/2024,CREST,1,61
ATL,MAR,09/03/2024,CREST,2,56
ATL,MAR,09/03/2024,CREST,3,60
ATL,MAR,21/03/2024,FLAT,1,67
ATL,MAR,21/03/2024,FLAT,2,70
ATL,MAR,21/03/2024,FLAT,3,37
ATL,MAY,15/05/2024,CREST,1,41
ATL,MAY,15/05/2024,CREST,2,42
ATL,MAY,15/05/2024,CREST,3,42
ATL,OCT,16/10/2024,CREST,1,49
ATL,OCT,16/10/2024,CREST,2,37
ATL,OCT,16/10/2024,CREST,3,42
ATL,OCT,25/10/2024,CREST,1,59
ATL,OCT,25/10/2024,CREST,2,38
ATL,OCT,25/10/2024,CREST,3,36
ATL,SEP,07/09/2024,FLAT,1,31
ATL,SEP,07/09/2024,FLAT,2,37
ATL,SEP,08/09/2024,CREST,1,36
ATL,SEP,08/09/2024,CREST,2,24
ATL,SEP,08/09/2024,CREST,3,46
ATL,SEP,13/09/2024,FLAT,1,52
ATL,SEP,13/09/2024,FLAT,2,42
ATL,SEP,13/09/2024,FLAT,3,42
ATL,SEP,15/09/2024,FLAT,1,49
ATL,SEP,15/09/2024,FLAT,2,39
ATL,SEP,15/09/2024,FLAT,3,43
ATL,SEP,21/09/2024,FLAT,1,50
ATL,SEP,21/09/2024,FLAT,2,42
ATL,SEP,21/09/2024,FLAT,3,56
HS,APR,05/04/2024,FLAT,1,54
HS,APR,05/04/2024,FLAT,2,48
HS,APR,05/04/2024,FLAT,3,66
HS,AUG,02/08/2024,CREST,1,67
HS,AUG,02/08/2024,CREST,2,62
HS,AUG,02/08/2024,CREST,3,49
HS,AUG,10/08/2024,CREST,1,55
HS,AUG,10/08/2024,CREST,2,58
HS,AUG,10/08/2024,CREST,3,34
HS,FEB,07/02/2024,CREST,1,77
HS,FEB,07/02/2024,CREST,2,60
HS,FEB,07/02/2024,CREST,3,72
HS,FEB,29/02/2024,CREST,1,65
HS,FEB,29/02/2024,CREST,2,61
HS,FEB,29/02/2024,CREST,3,54
HS,JUL,06/07/2024,CREST,1,50
HS,JUL,06/07/2024,CREST,2,48
HS,JUL,06/07/2024,CREST,3,52
HS,JUL,11/07/2024,CREST,1,44
HS,JUL,11/07/2024,CREST,2,56
HS,JUL,20/07/2024,CREST,1,59
HS,JUL,20/07/2024,CREST,2,52
HS,JUL,20/07/2024,CREST,3,51
HS,JUN,05/06/2024,CREST,1,39
HS,JUN,05/06/2024,CREST,2,62
HS,JUN,05/06/2024,CREST,3,48
HS,JUN,08/06/2024,CREST,1,63
HS,JUN,08/06/2024,CREST,2,54
HS,JUN,08/06/2024,CREST,3,42
HS,JUN,26/06/2024,FLAT,1,45
HS,JUN,26/06/2024,FLAT,2,29
HS,JUN,26/06/2024,FLAT,3,33
HS,JUN,27/06/2024,CREST,1,53
HS,JUN,27/06/2024,CREST,2,44
HS,JUN,27/06/2024,CREST,3,50
HS,JUN,30/06/2024,CREST,1,47
HS,JUN,30/06/2024,CREST,2,52
HS,JUN,30/06/2024,CREST,3,31
HS,MAR,07/03/2024,FLAT,1,59
HS,MAR,07/03/2024,FLAT,2,45
HS,MAR,07/03/2024,FLAT,3,60
HS,MAR,22/03/2024,CREST,1,55
HS,MAR,22/03/2024,CREST,2,55
HS,MAR,22/03/2024,CREST,3,66
HS,MAR,29/03/2024,CREST,1,61
HS,MAR,29/03/2024,CREST,2,55
HS,MAR,29/03/2024,CREST,3,64
HS,MAY,03/05/2024,CREST,1,66
HS,MAY,03/05/2024,CREST,2,58
HS,MAY,03/05/2024,CREST,3,62
HS,MAY,09/05/2024,CREST,1,44
HS,MAY,09/05/2024,CREST,2,55
HS,MAY,09/05/2024,CREST,3,59
HS,MAY,11/05/2024,FLAT,1,41
HS,MAY,11/05/2024,FLAT,2,44
HS,MAY,11/05/2024,FLAT,3,52
HS,MAY,18/05/2024,CREST,1,50
HS,MAY,18/05/2024,CREST,2,51
HS,MAY,18/05/2024,CREST,3,65
HS,OCT,12/10/2024,CREST,1,50
HS,OCT,12/10/2024,CREST,2,58
HS,OCT,12/10/2024,CREST,3,49
HS,OCT,30/10/2024,CREST,1,61
HS,OCT,30/10/2024,CREST,2,78
HS,OCT,30/10/2024,CREST,3,81
HS,SEP,14/09/2024,FLAT,1,39
HS,SEP,14/09/2024,FLAT,2,23
HS,SEP,14/09/2024,FLAT,3,41
HS,SEP,26/09/2024,CREST,1,47
HS,SEP,26/09/2024,CREST,2,44
HS,SEP,26/09/2024,CREST,3,50
HS,SEP,26/09/2024,FLAT,1,30
HS,SEP,26/09/2024,FLAT,2,30
HS,SEP,26/09/2024,FLAT,3,41
MH4,APR,04/04/2024,FLAT,1,22
MH4,APR,04/04/2024,FLAT,2,25
MH4,APR,04/04/2024,FLAT,3,34
MH4,APR,17/04/2024,CREST,1,65
MH4,APR,17/04/2024,CREST,2,53
MH4,APR,17/04/2024,CREST,3,52
MH4,APR,20/04/2024,FLAT,1,26
MH4,APR,20/04/2024,FLAT,2,23
MH4,APR,20/04/2024,FLAT,3,26
MH4,AUG,16/08/2024,CREST,1,49
MH4,AUG,16/08/2024,CREST,2,51
MH4,AUG,16/08/2024,CREST,3,64
MH4,AUG,31/08/2024,CREST,1,65
MH4,AUG,31/08/2024,CREST,2,54
MH4,AUG,31/08/2024,CREST,3,64
MH4,FEB,08/02/2024,CREST,1,59
MH4,FEB,08/02/2024,CREST,2,67
MH4,FEB,16/02/2024,CREST,1,61
MH4,FEB,16/02/2024,CREST,2,63
MH4,FEB,16/02/2024,CREST,3,68
MH4,FEB,23/02/2024,CREST,1,59
MH4,FEB,23/02/2024,CREST,2,63
MH4,FEB,23/02/2024,CREST,3,65
MH4,JUL,05/07/2024,CREST,1,62
MH4,JUL,05/07/2024,CREST,2,57
MH4,JUL,05/07/2024,CREST,3,38
MH4,JUL,12/07/2024,CREST,1,44
MH4,JUL,12/07/2024,CREST,2,57
MH4,JUL,12/07/2024,CREST,3,63
MH4,JUL,31/07/2024,CREST,1,50
MH4,JUL,31/07/2024,CREST,2,67
MH4,JUL,31/07/2024,CREST,3,66
MH4,JUN,06/06/2024,FLAT,1,11
MH4,JUN,06/06/2024,FLAT,2,21
MH4,JUN,06/06/2024,FLAT,3,10
MH4,JUN,28/06/2024,FLAT,1,22
MH4,JUN,28/06/2024,FLAT,2,18
MH4,JUN,28/06/2024,FLAT,3,15
MH4,MAR,06/03/2024,FLAT,1,30
MH4,MAR,06/03/2024,FLAT,2,28
MH4,MAR,06/03/2024,FLAT,3,22
MH4,MAR,16/03/2024,FLAT,1,72
MH4,MAR,16/03/2024,FLAT,2,60
MH4,MAR,16/03/2024,FLAT,3,41
MH4,MAR,20/03/2024,CREST,1,61
MH4,MAR,20/03/2024,CREST,2,68
MH4,MAR,20/03/2024,CREST,3,56
MH4,MAR,24/03/2024,CREST,1,69
MH4,MAR,24/03/2024,CREST,2,57
MH4,MAR,24/03/2024,CREST,3,72
MH4,MAR,30/03/2024,CREST,1,79
MH4,MAR,30/03/2024,CREST,2,66
MH4,MAR,30/03/2024,CREST,3,56
MH4,MAY,08/05/2024,CREST,1,52
MH4,MAY,08/05/2024,CREST,2,53
MH4,MAY,08/05/2024,CREST,3,49
MH4,MAY,10/05/2024,CREST,1,66
MH4,MAY,10/05/2024,CREST,2,64
MH4,MAY,10/05/2024,CREST,3,59
MH4,MAY,15/05/2024,FLAT,1,15
MH4,MAY,15/05/2024,FLAT,2,39
MH4,MAY,15/05/2024,FLAT,3,26
MH4,OCT,13/10/2024,CREST,1,25
MH4,OCT,13/10/2024,CREST,2,28
MH4,OCT,13/10/2024,CREST,3,27
MH4,OCT,31/10/2024,CREST,1,69
MH4,OCT,31/10/2024,CREST,2,69
MH4,OCT,31/10/2024,CREST,3,44
MH4,SEP,11/09/2024,CREST,1,51
MH4,SEP,11/09/2024,CREST,2,49
MH4,SEP,19/09/2024,CREST,1,51
MH4,SEP,19/09/2024,CREST,2,60
MH4,SEP,19/09/2024,CREST,3,47
